Taxon,NAm_CAmUpper,CAmLower,Choco_Caribe,Andes,Amaz,LAnt_PR,Cuba_Jam_Cay,Hisp,Bah
poncensis,0,0,0,0,0,1,0,0,0
pulchellus,0,0,0,0,0,1,0,0,0
roosevelti,0,0,0,0,0,1,0,0,0
stratulus,0,0,0,0,0,1,0,0,0
acutus,0,0,0,0,0,1,0,0,0
cymbops,1,0,0,0,0,0,0,0,0
dunni,1,0,0,0,0,0,0,0,0
forbesi,1,0,0,0,0,0,0,0,0
gadovii,1,0,0,0,0,0,0,0,0
liogaster,1,0,0,0,0,0,0,0,0
macrinii,1,0,0,0,0,0,0,0,0
microlepidotus,1,0,0,0,0,0,0,0,0
milleri,1,0,0,0,0,0,0,0,0
naufragus,1,0,0,0,0,0,0,0,0
omiltemanus,1,0,0,0,0,0,0,0,0
quercorum,1,0,0,0,0,0,0,0,0
schiedii,1,0,0,0,0,0,0,0,0
subocularis,1,0,0,0,0,0,0,0,0
taylori,1,0,0,0,0,0,0,0,0
fasciatus,0,0,1,1,0,0,0,0,0
fraseri,0,0,1,1,0,0,0,0,0
gemmosus,0,0,1,1,0,0,0,0,0
sulcifrons,0,0,1,1,0,0,0,0,0
fitchi,0,0,0,1,1,0,0,0,0
frenatus,0,1,1,0,0,0,0,0,0
vittigerus,0,1,1,0,0,0,0,0,0
pentaprion,0,1,1,0,0,0,0,0,0
garmani,0,0,0,0,0,0,1,0,0
grahami,0,0,0,0,0,0,1,0,0
lineatopus,0,0,0,0,0,0,1,0,0
opalinus,0,0,0,0,0,0,1,0,0
reconditus,0,0,0,0,0,0,1,0,0
valencienni,0,0,0,0,0,0,1,0,0
maculiventris,0,0,1,1,0,0,0,0,0
parvauritus,0,0,1,0,0,0,0,0,0
poecilopus,0,1,1,1,0,0,0,0,0
tropidogaster,0,1,1,1,0,0,0,0,0
tigrinus,0,0,1,0,1,0,0,0,0
